gene,SJRHB046412_C1,SJRHB046412_C2,SJRHB046412_C3,SJRHB046412_C4,SJRHB046412_C5,SJRHB046412_C6,SJRHB046412_C7,SJRHB046412_C8,SJRHB046412_C9
5S_rRNA,0,1,0,0,0,0,0,0,0
7SK,706,646,856,393,416,252,315,364,332
A1BG,41,107,42,20,47,45,42,24,36
A1BG-AS1,886,1028,1023,546,634,612,598,561,609
A1CF,0,0,0,0,0,0,1,0,0
A2M,0,0,2,1,4,0,0,3,4
A2M-AS1,56,31,91,44,47,24,11,22,33
A2ML1,0,1,1,0,1,1,1,0,0
A2ML1-AS1,1,3,2,2,1,0,0,0,1
A2ML1-AS2,1,0,1,0,0,1,0,0,0
A3GALT2,12,14,22,32,37,35,32,27,25
A4GALT,65,71,53,16,24,67,55,43,30
A4GNT,2,2,5,3,4,1,0,3,4
AAAS,3801,3664,4722,2171,2637,2527,2544,2251,2643
AACS,4965,3164,8876,2591,2857,2202,2125,2387,2738
AADAC,0,0,0,0,0,0,0,0,0
AADACL2,0,0,0,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0,0,0,0
AADACL4,0,0,0,0,2,0,0,0,0
AADAT,1341,1358,2134,1219,1408,932,918,1009,1212
AAED1,468,664,465,571,615,627,539,516,613
AAGAB,3518,3077,3961,2366,2656,2444,2263,2152,2652
AAK1,3617,3827,4323,2358,2734,2857,2534,2309,2666
AAMDC,430,372,539,270,299,286,262,240,260
AAMP,7870,6325,9913,6067,7046,5129,4918,6151,7268
AANAT,10,14,18,5,3,2,0,2,3
AAR2,5400,4389,6586,3312,3991,2735,2799,3074,3665
AARD,14,25,1,5,5,22,15,8,7
AARS,10048,8813,13102,5717,6749,5722,5514,5647,6365
AARS2,2139,2225,3090,2185,2419,1774,1817,1992,2312
AARSD1,222,307,343,162,155,115,123,122,156
AASDH,1979,1967,2621,1595,1705,1455,1177,1416,1566
AASDHPPT,6025,4961,7484,5097,5698,3905,3149,4528,5596
AASS,3212,2757,4546,2593,2898,1807,1737,2272,2651
AATF,5672,4635,7140,4555,5350,3634,3558,4079,4972
AATK,1598,1670,2009,812,912,826,809,1010,1035
AATK-AS1,29,24,37,4,10,7,4,3,10
AB015752.3,50,52,47,39,49,34,45,45,49
AB019440.50,0,0,0,0,0,0,0,0,0
ABAT,54330,40566,74696,24202,28239,15031,14401,21394,24636
ABCA1,39,51,11,8,2,11,8,5,6
ABCA10,7,12,5,3,10,18,9,17,8
ABCA12,281,380,130,39,49,111,105,89,93
ABCA13,4,0,5,0,2,0,1,2,2
ABCA2,3740,3979,5447,1786,1976,2357,2025,2115,2258
ABCA3,129,86,255,28,34,20,23,32,21
ABCA4,46,63,23,3,6,19,14,19,10
ABCA5,264,508,203,273,262,325,271,269,246
ABCA6,1,0,0,4,1,3,2,1,0
ABCA7,873,1055,1221,294,251,404,389,338,319
ABCA8,56,108,1,2,1,345,240,76,93
ABCA9,19,27,3,2,0,23,14,6,6
ABCA9-AS1,1,0,0,0,0,0,0,0,0
ABCB1,19,15,6,5,5,8,10,14,5
ABCB10,1865,1653,2538,1227,1381,1122,1059,1173,1397
ABCB11,120,48,217,62,70,41,42,49,56
ABCB4,85,72,115,29,32,39,32,32,24
ABCB5,7,11,7,0,0,6,0,0,1
ABCB6,453,605,764,434,493,373,319,330,451
ABCB7,1244,1378,1533,950,1108,1024,912,988,1101
ABCB8,2673,3439,2782,1779,2130,2045,1920,1863,2152
ABCB9,613,605,810,285,317,341,324,294,388
ABCC1,4828,6229,4976,3606,3974,4449,4139,3576,3997
ABCC10,1349,1367,2027,858,1019,838,824,908,1053
ABCC11,27,25,20,8,13,14,13,12,6
ABCC12,1,2,0,0,0,1,1,0,1
ABCC2,165,74,301,76,58,70,53,55,77
ABCC3,12,12,40,8,7,7,5,6,8
ABCC4,2855,2184,4137,2977,3384,2002,1919,2360,2952
ABCC5,4768,5406,5964,3024,3361,2653,2636,2901,3330
ABCC5-AS1,0,0,0,0,0,0,0,0,0
ABCC6,5,13,0,4,4,9,7,3,2
ABCC8,137,188,151,109,86,152,176,121,140
ABCC9,700,784,954,830,758,519,532,481,553
ABCD1,502,450,516,243,277,282,298,280,280
ABCD2,0,0,2,0,0,0,0,0,0
ABCD3,6311,6008,7427,4490,4946,4620,3920,4313,5180
ABCD4,3897,3955,5959,2493,2905,2611,2442,2472,2808
ABCE1,8591,7876,10698,8722,9534,7277,6150,7882,9787
ABCF1,8835,7458,10796,7360,8645,5985,5893,7285,8628
ABCF2,5645,5572,6112,6092,7148,5215,4913,5959,7208
ABCF3,1786,2750,1403,1947,2203,2169,2040,1911,2236
ABCG1,281,39,559,76,90,33,46,51,51
ABCG2,127,243,47,113,110,186,175,100,162
ABCG4,28,66,24,16,20,31,32,18,15
ABCG5,0,1,2,0,0,0,0,0,1
ABCG8,0,0,0,1,0,0,1,0,1
ABHD1,4,26,14,3,5,12,1,2,4
ABHD10,2571,3074,2205,1915,2155,2525,2260,2090,2530
ABHD11,850,843,1244,815,907,691,716,608,766
ABHD12,2557,2679,2876,1903,2158,1949,1741,1921,2132
ABHD12B,1,5,6,0,1,1,3,0,0
ABHD13,797,805,950,700,800,653,454,628,819
ABHD14A,173,173,210,66,84,85,74,46,67
ABHD14A-ACY1,8,11,5,2,4,8,0,2,5
ABHD14B,343,395,424,138,130,119,137,123,128
ABHD15,1071,1153,1283,658,774,669,591,691,735
ABHD16A,85,113,107,62,57,56,38,69,54
ABHD16B,13,9,13,2,2,2,3,9,2
ABHD17A,2350,2291,3000,1518,1827,1463,1452,1755,1964
ABHD17B,1749,1834,1807,1842,1983,1402,1252,1639,2024
ABHD17C,339,425,294,540,651,426,403,522,551
ABHD2,5009,6029,4579,3774,4333,5468,4957,4003,4911
ABHD3,1962,2233,2599,1600,1643,1729,1562,1510,1705
ABHD4,2297,2158,2162,678,822,1116,1013,882,1066
ABHD5,354,406,302,248,280,409,302,240,299
ABHD6,209,253,196,102,135,175,143,120,144
ABHD8,1320,1311,1274,762,894,767,775,858,868
ABI1,4303,4225,5079,2597,2816,2940,2685,2456,3111
ABI2,17337,17001,20712,19339,21047,16631,13880,17544,19867
ABI3,744,976,543,202,244,732,742,378,397
ABI3BP,3402,7217,634,297,284,13413,10480,3049,3798
ABL1,16114,16852,16934,11102,13430,13549,13106,12557,14384
ABL2,7923,7351,9637,5936,6848,6718,6526,5783,7047
ABLIM1,1057,1142,714,846,1031,953,1162,944,1212
ABLIM2,83,88,97,30,32,33,32,28,38
ABLIM3,649,208,1161,234,320,125,124,206,190
ABO,2,0,0,0,0,0,0,0,0
ABR,1390,1767,1227,1076,1183,1214,1018,1169,1216
ABRA,0,0,0,1,0,0,1,1,2
ABRACL,982,1219,768,721,828,1135,889,841,970
ABT1,1356,1033,1826,1048,1282,847,850,1011,1281
ABTB1,673,685,1077,653,676,384,365,622,678
ABTB2,278,198,414,189,209,140,138,167,168
AC000032.2,0,0,0,0,0,0,0,0,0
AC000036.4,0,0,0,0,0,0,0,0,0
AC000067.1,3,9,4,0,0,2,4,1,0
AC000068.10,14,16,27,13,7,6,10,14,7
AC000068.5,175,146,253,57,72,71,67,70,62
AC000068.9,22,24,50,17,16,14,15,12,22
AC000099.1,0,0,0,0,0,0,0,0,0
AC000111.3,0,0,0,0,0,0,0,0,0
AC000111.6,0,0,0,0,0,0,0,0,0
AC000120.7,238,228,347,167,178,174,154,134,164
AC000123.4,0,0,0,0,0,0,0,0,0
AC000124.1,0,0,0,0,0,0,0,0,0
AC000370.2,1,0,0,0,0,0,0,0,1
AC002044.4,21,33,17,15,7,5,11,9,15
AC002056.5,0,0,0,0,0,0,0,0,0
AC002059.10,26,29,62,28,28,12,22,18,28
AC002064.4,0,0,0,0,0,0,0,0,0
AC002064.5,17,18,16,23,17,21,23,17,28
AC002066.1,43,54,14,5,6,55,41,14,32
AC002076.10,1,1,1,0,0,0,0,0,0
AC002115.5,0,0,0,0,0,1,0,0,0
AC002115.9,0,0,0,0,1,0,0,1,0
AC002116.7,180,160,274,101,122,105,63,96,84
AC002116.8,0,0,0,0,0,0,0,0,0
AC002117.1,309,352,414,131,125,124,107,136,119
AC002127.4,153,58,259,248,211,106,95,143,168
AC002128.5,5,5,3,1,2,0,2,0,3
AC002306.1,1,0,0,0,0,0,0,0,0
AC002310.12,241,208,357,153,126,108,66,116,101
AC002310.13,0,0,0,0,0,0,0,0,0
AC002310.7,79,97,122,33,50,29,42,40,36
AC002331.1,0,0,0,0,0,0,0,0,0
AC002368.4,0,1,0,0,0,0,0,0,0
AC002383.2,7,1,1,5,4,1,2,3,3
AC002386.1,0,0,0,0,0,0,0,0,0
AC002398.11,6,11,12,10,10,5,5,4,7
AC002398.12,21,21,15,10,18,13,14,14,18
AC002398.13,1,4,1,1,0,0,0,0,0
AC002398.5,0,1,0,0,0,0,0,0,0
AC002398.9,0,0,0,0,0,0,0,0,0
AC002401.1,6,13,20,6,5,4,6,1,5
AC002429.5,10,14,3,2,1,26,15,4,3
AC002451.3,2,5,1,0,1,7,5,0,1
AC002454.1,630,687,709,554,682,622,614,536,641
AC002456.2,89,84,202,91,102,60,45,78,76
AC002463.3,6,9,2,7,4,2,4,4,5
