,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
7SK,447.00240746245305,-0.25490957153199734,0.25635657545217644,-0.9943555030034755,0.32004982314860986,0.6157087151213042
A1BG,48.86467444100662,0.9624458459062539,0.4409799020074817,2.1825163494410793,0.029071445955515775,0.13307243966298504
A1BG-AS1,715.3067506235737,0.23162037275081612,0.1274044168991462,1.8179932720399141,0.06906516109748854,0.24603305554975483
A2M-AS1,38.00785444685465,-1.244803190962065,0.4118496458843245,-3.022469980007439,0.0025072094963727314,0.019879017332506247
A3GALT2,30.598096844888428,0.05170333656883401,0.6615059736887994,0.07816004484512405,0.9377007443431422,0.9789283316248701
A4GALT,47.60576994339589,1.3602408013592024,0.3918889967245682,3.4709849287124084,0.0005185531031319105,0.0053237227603496196
A4GNT,2.2933903565443723,-1.8786929019659626,1.4862260795000763,-1.2640693955511135,0.2062051201841707,
AAAS,2934.0671102457823,0.1280442041392812,0.1359942781114878,0.9415411142100468,0.3464276301809379,0.6407688623991216
AACS,3297.0438416817965,-0.5978031361743518,0.2870595121772336,-2.0825059293114863,0.03729628186487492,0.15950029301199284
AADAT,1278.3932512883598,-0.3517914031078476,0.10050182335845932,-3.5003484648543646,0.00046465033032379164,0.004852879197199244
AAED1,595.7939152955906,0.28999429385781494,0.3112024885877983,0.9318508189756973,0.351413627234345,0.6456771198622244
AAGAB,2734.640690208845,0.020416574045237425,0.11377995157019201,0.17943911702794346,0.8575929188531601,0.9488742633641052
AAK1,3026.9817675905397,0.19742103893404034,0.09523018211297729,2.0730931575855633,0.03816361068116427,0.16203466935338923
AAMDC,326.09638602297645,-0.02131205436500381,0.16101164693861608,-0.132363433144242,0.8946968362686551,0.9643451505537775
AAMP,6402.331538269348,-0.2647921461741532,0.12754904513353763,-2.0760025752990057,0.03789371281089895,0.16129514055786817
AANAT,5.77554477556266,-0.5828893401662845,1.3375458635211837,-0.43579017068752113,0.6629889760505357,0.8612105185717891
AAR2,3789.0108090744834,-0.2583620845538767,0.11395923363812203,-2.2671448052582246,0.023381381271143996,0.11331944293823928
AARD,12.8282427757173,2.576565672420825,0.8204559650221062,3.140407020322416,0.0016871325321686434,0.014483887346208134
AARS,7218.997940613629,-0.0979370607713026,0.14834517052217802,-0.6601971633222851,0.5091273124282488,0.7691485402214375
AARS2,2219.939570907613,-0.1934238505284482,0.15976617688488245,-1.2106683298043577,0.2260225448533289,0.5119498768714266
AARSD1,186.53611970185636,-0.0920103019843653,0.305949868680903,-0.30073653040305576,0.7636154102936656,0.9090268439913297
AASDH,1696.7001807776278,-0.15780779688484817,0.10911967256913692,-1.4461901614015844,0.14812387249138473,0.3988675512759473
AASDHPPT,4909.858167173723,-0.4113865100722923,0.13026503993100233,-3.1580730354835955,0.0015881576349437532,0.01380678115022904
AASS,2605.177448404022,-0.45946936831807356,0.08734870094501111,-5.2601740306055005,1.4391912419235235e-07,3.656169893544747e-06
AATF,4696.704586576046,-0.310102636489251,0.13096301910804903,-2.3678641390620783,0.017891104426091063,0.09316003316456359
AATK,1098.3698933355365,0.055523712334723994,0.2213840810007344,0.25080264165217825,0.8019666991005443,0.9244036544930576
AATK-AS1,12.093522272746199,-0.2797035117418264,0.8984820498971273,-0.31130673314380775,0.7555674491210835,0.9051321466371208
AB015752.3,44.50766656470995,0.13899250286590253,0.3789793686046355,0.36675480086860446,0.713801925363986,0.8856222797765916
ABAT,29380.659688126954,-0.6387298034858236,0.31977408314802325,-1.997440809454705,0.04577731836671266,0.18441481592027023
ABCA1,13.861457366276085,1.7986968432037675,0.8783414752377752,2.0478332105595305,0.040576345011397806,0.1692479714328817
ABCA10,9.931828199420378,1.316842133275618,0.8229347126382749,1.6001781344888322,0.10955907137798247,0.33137251702889553
ABCA12,125.91394034003916,1.6397041387866365,0.4525514891083626,3.623243273416812,0.00029093195478037913,0.003246843922893647
ABCA2,2725.389583958255,0.14432815736706645,0.2595853278136009,0.5559950501929116,0.5782142385429463,0.8148647856580546
ABCA3,60.198910094165406,-0.960890030093997,0.7469640456131744,-1.2863939512713938,0.1983056083346444,0.474660834178718
ABCA4,19.392384248795832,1.8275649811120882,0.7682047795895202,2.379007563697564,0.017359319766038363,0.09110555251124798
ABCA5,310.6545306102502,0.6627441215987848,0.3233299141689388,2.0497457629376763,0.04038924675637786,0.1687418396542719
ABCA6,1.9613622829368198,0.11869304572088343,2.0919706301897687,0.056737434076747265,0.9547543539498045,
ABCA7,541.0454754755064,0.36296090222399907,0.4427315119302308,0.8198217033198156,0.4123177566745527,0.6997386468717678
ABCA8,134.16818491219252,7.750844832838134,0.9141992014117258,8.478288780901487,2.285301663262016e-17,1.9619117770340333e-15
ABCA9,11.864418909013558,3.9120882503205032,0.9184668171520965,4.259368087407634,2.050056396188082e-05,0.00033277076807561556
ABCB1,8.223053800886847,1.2191447606001975,0.7369687504161216,1.6542692752057944,0.09807281280600988,0.30911793205527754
ABCB10,1427.6126537630137,-0.18293309085801232,0.12850949820939978,-1.4234986005464907,0.1545916675123952,0.4095507105406192
ABCB11,71.7728914321443,-1.056610560370872,0.40813805642691864,-2.5888557651816746,0.009629541910202726,0.05825989861042154
ABCB4,48.15931723458001,0.002315277716151538,0.47256507044512447,0.004899383938746684,0.9960908728369253,0.9983147767423373
ABCB5,3.444114747345484,1.7045248987562258,2.1387262878099995,0.796981319428965,0.42546188056634343,
ABCB6,476.9913666061089,-0.18680675278863443,0.14074921237288482,-1.32723124797125,0.1844321986849578,0.4535785254850129
ABCB7,1127.055479992621,0.09148094827767543,0.11282610236907274,0.8108136890028,0.41747267205231964,0.7041506367391115
ABCB8,2296.0899844882533,0.320501506613308,0.12917957697239565,2.4810540034652373,0.013099452525422524,0.07370953502981328
ABCB9,417.82011782675835,0.1174645248515594,0.25631847180181766,0.4582756912751163,0.6467543861879284,0.8536386421275659
ABCC1,4533.314743896575,0.42261571807639325,0.13324084976945152,3.171817943278289,0.0015148794214148195,0.013239075663150048
ABCC10,1092.4020263242453,-0.1158892839971019,0.1699160576093981,-0.6820384466752837,0.49521464042523883,0.7601051690401871
ABCC11,14.910926735299865,0.5579324755218048,0.5471525893893768,1.0197017913128372,0.30786991187127166,0.6031125243179027
ABCC2,93.35505061285228,-0.745284168355279,0.48530674996904183,-1.5356970996237356,0.12461268675676591,0.3591939078954315
ABCC3,11.282262709190322,-0.8480078367850258,0.8005888929541153,-1.0592300795679765,0.2894950092966767,0.5849598204474058
ABCC4,2717.1944833996104,-0.563535080646543,0.1854463597588655,-3.0388036809096897,0.002375195807406708,0.019052265362915585
ABCC5,3641.606522810762,-0.014066755201820833,0.1719775196764614,-0.08179415093486868,0.9348104073680501,0.978101961475991
ABCC6,6.474216304560713,1.8577464274026592,1.1299748234635518,1.6440600169376978,0.10016380582730411,0.31321684303921354
ABCC8,145.47646999970908,0.8121701335722991,0.26487833760625673,3.0662006599406966,0.002167977670160731,0.017684956501198217
ABCC9,718.6216600683947,-0.3065755156262275,0.19272497451106443,-1.5907409841614837,0.11166787934250824,0.3353066716213986
ABCD1,331.9189623198933,0.2327770442637663,0.17074778810741173,1.3632799982002346,0.1727942833067405,0.4361353111925422
ABCD3,5102.665954704854,0.0018696641273996026,0.09823383219754381,0.019032792323929626,0.9848149456518324,0.9941249103076246
ABCD4,3214.7374544145637,-0.07386434781822486,0.1648570089627998,-0.44805100057888614,0.6541163898217831,0.8569948780476552
ABCE1,8325.26029410885,-0.25044527249564236,0.19522532777490106,-1.282852360142589,0.19954380591591817,0.47579480215818776
ABCF1,7554.910554054714,-0.2606545273134839,0.14962949118612912,-1.7419996903501263,0.08150849844422556,0.2735307099433261
ABCF2,5914.063389362699,-0.13094982435787975,0.2607402662931639,-0.50222325158879,0.6155104889266756,0.8364776079301051
ABCF3,2144.0302253506875,0.4334600492198531,0.3243713974642159,1.3363078637895984,0.18144866725106085,0.44898908008937494
ABCG1,114.22790335022195,-2.1149247555280546,0.6067383093867291,-3.4857280689359307,0.0004907996468971782,0.005067525436625763
ABCG2,152.6303693850945,1.2201966845520809,0.47992116449947253,2.5424940069577238,0.011006448870742034,0.06455107248485545
ABCG4,31.02558591868461,1.2606760975732756,0.41716281980383313,3.0220241059979807,0.0025109055162890227,0.01990039998723775
ABHD1,9.080834546823938,1.0089845364710281,1.043866650723655,0.9665837449367264,0.3337521638102358,0.627933522328669
ABHD10,2379.7644000218966,0.49591340679136225,0.20238720190252368,2.450319991232501,0.014272930887019114,0.07859385249564825
ABHD11,854.74375117139,-0.17269736470952898,0.1638817097632418,-1.053792793344804,0.29197779367405,0.5874216737626589
ABHD12,2175.948688229187,0.0726656696491658,0.11438372292999241,0.6352798089430978,0.5252459397896088,0.7804268267872034
ABHD12B,2.3527310084102226,0.7614457319599044,1.5831698857732173,0.4809627436717037,0.6305429779064768,
ABHD13,712.7895132771845,-0.18322859280350481,0.18666666715051142,-0.981581744617348,0.32630594464828,0.622011539081656
ABHD14A,106.48565679091111,0.1341374656120994,0.34490034167928996,0.3889165924249181,0.6973378475931067,0.8770999627730917
ABHD14A-ACY1,4.688346850046744,0.9155937397941779,1.2869447459461048,0.7114475914201538,0.47680691643298284,0.7470184217695356
ABHD14B,202.28129884626685,0.13350326666728465,0.4152322611402363,0.3215146778351999,0.7478203909425646,0.9013215568171291
ABHD15,816.6764143389682,0.03259537330609853,0.1464118209628608,0.22262801658867942,0.8238250295379372,0.9350423474645029
ABHD16A,68.09270091169185,0.0353411591861616,0.3439109250331225,0.10276253708066369,0.9181514388824746,0.9720206646027092
ABHD16B,4.429827583370128,0.018361344763718326,1.1388135323509232,0.01612322319863364,0.9871360864887506,0.9952814333601522
ABHD17A,1849.0299004538701,-0.05939284344220995,0.11217652327765501,-0.5294587646935988,0.5964872422195362,0.8269627188140078
ABHD17B,1688.9270314856983,-0.1872478769596655,0.236923129489335,-0.7903317728550195,0.42933403586540886,0.7136576525063719
ABHD17C,476.1786013922863,-0.13492104456934637,0.4307067035449204,-0.3132550374974018,0.7540869070855136,0.9046067525334913
ABHD2,4930.787411556909,0.5669563842520448,0.204884912805221,2.7671944043582952,0.0056541027407075745,0.038160882509885724
ABHD3,1856.2923810193918,0.1410046700871353,0.1125045857705688,1.2533237567283424,0.2100879060573808,0.49036925172212037
ABHD4,1240.3135058736134,0.4965562792585488,0.27570492321428747,1.801042482192485,0.07169618433189336,0.25206935628213945
ABHD5,329.34930053480554,0.6209628872264291,0.2420089903700925,2.5658670212078527,0.010291827589538189,0.061152246450128914
ABHD6,163.82895657537935,0.6092731574458667,0.1923274174901557,3.1678954846729144,0.0015354670962054332,0.013395487584373023
ABHD8,936.197228518584,0.15294218565043394,0.12512640328138236,1.2223014618785124,0.22159364664248182,0.5053239921640785
ABI1,3273.975673380484,0.14469139979123863,0.11137041109361022,1.299190677042766,0.19387850018465985,0.4680135191811046
ABI2,18194.179302841352,-0.18403328682044298,0.23473718544508151,-0.7839971603625575,0.43304177652780984,0.7165913146480881
ABI3,575.2810431673531,1.6060117480709666,0.2186804141595688,7.34410419992655,2.0714170588095417e-13,1.1621524946566096e-11
ABI3BP,6019.08492558395,5.041875585485661,0.34973293603485833,14.416359072864475,4.083215980381546e-47,3.25301650725037e-44
ABL1,14077.804289356582,0.28295339047313317,0.14295619836230802,1.9793013084750366,0.04778209237715493,0.1899931990169285
ABL2,7105.313159609745,0.12094465272377651,0.16515245075493074,0.7323212714732641,0.46397249899212195,0.7387788641009981
ABLIM1,1009.6539344630486,0.4854792616590344,0.3280647068912812,1.4798277640389994,0.1389192172409637,0.38353951341672776
ABLIM2,47.31777217262955,0.18081639842577799,0.46688301317614467,0.38728416610342586,0.6985458463249166,0.87784324697163
ABLIM3,309.1405239269469,-1.5441380602434198,0.40233711968041813,-3.8379209491531623,0.0001240804105133752,0.0015772963536814805
ABR,1242.466363847802,0.339857787061784,0.1989133211142173,1.7085722824296692,0.08753020655712157,0.2878369589553309
ABRACL,944.5409706333254,0.650734090467721,0.24443515980305586,2.6621951236148873,0.0077632861238676925,0.04902389655328879
ABT1,1114.2103468143316,-0.36780699476781054,0.14916870383142183,-2.465711542170908,0.013674140465578759,0.07609607590190895
ABTB1,608.5720688113187,-0.5602168340098475,0.146218726630542,-3.83136173402313,0.00012743598280631866,0.0016135680035304825
ABTB2,202.4039196067822,-0.5140230803795757,0.20103462329662028,-2.556888320780201,0.010561311846052815,0.06243682043272007
AC000067.1,2.9058388514569895,2.297856339761324,1.662216308304246,1.3824051227758334,0.16684734405578644,
AC000068.10,12.204151440900977,-0.30716529698249845,0.6850345812766275,-0.44839385540225796,0.6538689755678919,0.8568823011794178
AC000068.5,99.60676983996906,-0.11578262846025555,0.43544438135493013,-0.2658953322580164,0.7903198200565396,0.9200303849474604
AC000068.9,20.813441395114392,-0.3584642937755041,0.525398562175496,-0.6822711738898293,0.495067496959503,0.7600014904379853
AC000120.7,199.45911407627636,-0.06480733633068843,0.19359093377719097,-0.33476431497188264,0.7378028813422752,0.8964082222713412
AC002044.4,13.780802372156089,0.39944431670782177,0.7703785058906253,0.5185039738953114,0.6041066881814028,0.830912234191164
AC002059.10,28.119906427980528,-0.6558829763651064,0.4628593254656287,-1.4170244397804865,0.1564757821431731,0.41191225917863844
AC002064.5,20.61620022695965,0.3303865515298779,0.5898232739494921,0.5601449893924831,0.5753805456697727,0.8129285896364377
AC002066.1,30.388164002309043,2.866077843446722,0.4997253495730969,5.735306095428503,9.733639413842413e-09,2.946275018320659e-07
AC002116.7,126.78014070723736,-0.3563204336644032,0.3134914275655058,-1.1366193851981743,0.25569743267103184,0.5480961097903437
AC002117.1,187.74142779352724,0.02300885036509752,0.41602388653205546,0.055306560776828474,0.9558942354243812,0.9858912271217131
AC002127.4,162.11284542882922,-1.2179138447948026,0.41243429222007966,-2.952988797897799,0.0031471338333742536,0.02397913716882747
AC002128.5,1.9730952816962055,0.3556967660636834,1.5946058814098771,0.22306249475838674,0.8234868677860114,
AC002310.12,154.50367613712487,-0.5231695166558926,0.356246440869982,-1.468560683380503,0.14195198546132706,0.388151860551206
AC002310.7,56.34835752604382,-0.04808849545483325,0.46972514822199385,-0.10237581623393613,0.9184583786494783,0.9721031397284041
AC002383.2,2.524478247498585,-1.2268099680734588,1.4753345742781494,-0.8315469517642881,0.40566471580783997,
AC002398.11,8.526718954652084,-0.4687633926138607,0.7150108364532659,-0.6556032002803075,0.5120794658673298,0.7714750857308492
AC002398.12,15.076357892023823,0.33155419564303457,0.5663735370968233,0.5853984586613099,0.5582798249201739,0.8023195644960043
AC002401.1,8.073714922229009,-0.16738164889303023,0.8190471434614907,-0.2043614341729281,0.8380710652504514,0.9420317967488706
AC002429.5,11.086874818197828,3.4940261631409975,0.9184677278566471,3.8041904545679794,0.00014226869220989043,0.0017556168170659156
AC002451.3,3.3988426321556156,3.383135429789364,1.4846510465094958,2.2787411477891184,0.022682457185378514,
AC002454.1,649.4177026491369,0.18682945847792817,0.22504951185904915,0.8301704675322353,0.40644241001315906,0.6952772893783465
AC002456.2,90.43376210077487,-0.8231806165759923,0.265772315111564,-3.0973151444703464,0.00195282148356474,0.016280596688220565
AC002463.3,4.724120688528306,0.18305932204391115,1.1084981922824613,0.1651417416089615,0.868832418973416,0.953297691378155
AC002467.7,48.014974858228705,-0.27049612677034335,0.3657329957570854,-0.7396000084991046,0.4595427365163474,0.7356894689491272
AC002472.11,26.02721221845111,0.19314310151609806,0.5418327404459171,0.3564625890955672,0.721494164047211,0.8892876579818244
AC002472.13,37.22300655455222,0.26323700538186223,0.47838406730363026,0.5502629024950068,0.5821390650248017,0.8177785130553658
AC002519.8,10.885399692735831,-0.16058566501442298,0.6419483271824451,-0.25015356877592376,0.8024685906155521,0.9247145868600991
AC002550.5,6.95846279173401,0.8697636937144784,0.997998846040294,0.8715077148289226,0.38347699531444884,0.6751580452188205
AC002551.1,59.86670121754793,-0.1552952977285162,0.324486394077897,-0.47858801035348075,0.632231749512653,0.8457357616390295
AC003002.6,22.951410549507226,0.047984886684237206,0.4525338825120303,0.10603600865833855,0.9155537824460004,0.971501581511827
AC003003.5,2.787910672831059,0.3362405072042545,1.5943847598884993,0.2108904422968575,0.8329727623530643,
AC003005.2,37.028172811773516,-0.1478269831790967,0.3980189773051927,-0.3714068715516196,0.7103345082637431,0.8841758875917866
AC003051.1,8.71935159234931,-1.352926537982204,0.8831397654919388,-1.5319506502219136,0.1255346132020467,0.3603217886071717
AC003075.4,51.2850444010706,-0.1796286204629555,0.3279023638168447,-0.5478113008154161,0.583821478173213,0.8190875435562756
AC003088.1,12.236320498795628,-0.9108337350977499,0.6511602945716625,-1.3987857409163782,0.1618772434904258,0.4196887818516275
AC003090.1,330.9930521216933,-0.7687566727358197,0.5441230594702552,-1.412836047573985,0.15770393650205206,0.4136947737750346
AC003092.1,3.1124150101226196,1.2771908588244436,1.4656842444537606,0.8713956390384986,0.38353816611602637,
AC003102.3,21.6895808351407,0.8773109544423139,0.5640286282350067,1.5554369238094345,0.11984204599128054,0.350704382898668
AC003104.1,151.21739157960693,-0.1472946714943505,0.22704368181307674,-0.648750365207771,0.5164997443125932,0.7740452253494137
AC003664.1,2.7333180358985167,-0.19075750701710675,1.321277995747336,-0.14437348357505284,0.8852055544648115,
AC003665.1,98.31474777917025,0.42528687170884477,0.25805093505614385,1.6480733604639548,0.09933761812286215,0.3120181895841422
AC003682.16,52.43568761922936,0.025925646547587916,0.43006165422784876,0.060283557700897425,0.951929797181376,0.984351060197366
AC003986.7,3.5608710548485134,-0.04956470390552396,1.4029976153482677,-0.03532771785447437,0.9718184214695469,
